,gene_names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,TRINITY_DN104494_c0_g1,1.96594668529707,-4.59012226461113,3.9319303869338,-1.16739662529748,0.243050233343146,NA
2,TRINITY_DN11387_c0_g1,11.9048234562961,1.35099770487421,2.10451501629196,0.641952038553087,0.520904324443996,NA
3,TRINITY_DN12396_c0_g1,4.25955115147699,-5.70308651391053,3.83584872874965,-1.48678608495845,0.137071317811297,NA
4,TRINITY_DN12_c0_g1,20621.3073329251,0.446178333737939,1.9623936849357,0.227364334263315,0.820140451200301,0.999955521126267
5,TRINITY_DN163589_c0_g1,7.35532971196904,-6.48394874366732,3.78037359702512,-1.71516083721718,0.0863157428326622,NA
6,TRINITY_DN171736_c0_g1,0.814335627520672,-3.33869704431292,3.96623939473748,-0.841779003239894,0.399911666867135,NA
7,TRINITY_DN177684_c0_g1,4.75103782280126,-5.86040076126862,3.81586825526089,-1.53579745663099,0.124588063714112,NA
8,TRINITY_DN23191_c0_g1,33.7491964068268,-8.68780933624502,3.03324927127965,-2.86419234268203,0.00418074062447765,0.0341478260727606
9,TRINITY_DN25021_c0_g1,378.006096570707,-0.723787175345387,1.9923102272878,-0.36329039796714,0.71638796539426,0.999955521126267
10,TRINITY_DN28968_c0_g1,7.04464228898118,-6.428001175213,3.76648771188414,-1.70663006676782,0.0878908330427489,NA
11,TRINITY_DN294867_c0_g1,1.22150344128101,-3.91581200362908,3.94679613191071,-0.992149549344311,0.321124578728452,NA
12,TRINITY_DN29966_c0_g1,36.5139582129892,-22.2478548190805,3.76761832301729,-5.90501821353905,NA,NA
13,TRINITY_DN32045_c0_g1,472.524122827912,-1.02796404546507,1.96819671065725,-0.522287248982239,0.601470345850186,0.999955521126267
14,TRINITY_DN327_c0_g1,568.295463811564,-1.31723476649455,1.96194124204225,-0.671393586243899,0.501969829705004,0.999955521126267
15,TRINITY_DN32986_c0_g2,2.12550581904428,0.332290369873256,2.99715324813305,0.110868661814421,0.911720496611156,NA
16,TRINITY_DN359094_c0_g1,2.62690346856037,-4.99106432501044,3.92584956585254,-1.27133356520414,0.203610006157,NA
17,TRINITY_DN3637_c0_g1,975.172340246254,0.345087791850674,1.97101158004724,0.175081564889843,0.861015543612746,0.999955521126267
18,TRINITY_DN386844_c0_g1,1.83883242799226,-4.47134376976363,3.93407723826947,-1.13656735721094,0.255719192557218,NA
19,TRINITY_DN39977_c0_g1,109.997772427468,-2.33810372120496,2.0128513509662,-1.16158787387983,0.245402910025426,0.727368370772778
20,TRINITY_DN412114_c0_g1,17.6417365202091,2.02973206633345,2.10050011775036,0.966308951464046,0.333889608170454,0.904671092956744
21,TRINITY_DN433605_c0_g1,4.42338004191841,-5.75745365392118,3.8286190984507,-1.50379379767786,0.132634468681986,NA
22,TRINITY_DN437480_c0_g1,4.25955115147699,-5.70308651391053,3.83584872874965,-1.48678608495845,0.137071317811297,NA
23,TRINITY_DN44283_c0_g1,5.76498098176125,5.8603025463745,2.96326745581645,1.97764887366869,0.047968331649108,NA
24,TRINITY_DN467337_c0_g1,7.75374266341186,-6.55945591328085,3.45033237546372,-1.90110841492459,0.0572878136250857,NA
25,TRINITY_DN4907_c0_g1,688.738043145024,-0.626346458171141,1.98031564740739,-0.316286173363902,0.751785304956784,0.999955521126267
26,TRINITY_DN5403_c0_g1,726.71975064201,-0.190900454371853,1.96417947532904,-0.0971909424620547,0.922574760860624,0.999955521126267
27,TRINITY_DN6333_c0_g1,1481.6447691927,1.92939398134525,1.98469996470411,0.97213383164084,0.330983973221526,0.898814877787955
28,TRINITY_DN6363_c0_g1,1712.83594045666,-0.747992790580714,1.95974985984554,-0.381677685457096,0.702700453690669,0.999955521126267
29,TRINITY_DN64105_c0_g1,7.61802005882508,-6.5347315711784,3.77746978407303,-1.729922923204,0.0836440470901389,NA
30,TRINITY_DN82748_c0_g1,2.56617292489666,0.803147983542208,2.69132703633503,0.298420806055555,0.765382011161236,NA
31,TRINITY_DN905_c0_g1,810.205469478347,-0.0789453731739437,1.96457074532561,-0.0401845407510937,0.967946002368713,0.999955521126267
32,TRINITY_DN985_c0_g1,337.917828815964,-1.01812206135413,1.97008759349653,-0.516790250705125,0.605302586458318,0.999955521126267
